JYear,Year,SEAKCatch,ISTI3_May,ISTI10_May,ISTI15_May,ISTI20_May,ISTI3_MJJ,ISTI10_MJJ,ISTI15_MJJ,ISTI20_MJJ,IS3_May,IS3_MJJ,Chatham_Strait_SST_MJJ,Chatham_Strait_SST_May,Chatham_Strait_SST_AMJJ,Icy_Strait_SST_MJJ,Icy_Strait_SST_May,Icy_Strait_SST_AMJJ,NSEAK_SST_MJJ,NSEAK_SST_May,NSEAK_SST_AMJJ,SST_Jordan_MJJ,SST_Jordan_May,SST_Jordan_AMJJ,SEAK_SST_MJJ,SEAK_SST_May,SEAK_SST_AMJJ,CPUEcal,index,weight_values
1997,1998,42.5,8.33,7.97,7.6,7.23,10.83,10.28,9.77,9.26,8.38,10.54,10.05,7.58,8.84,10.43,7.17,8.92,10.02,7.35,8.71,10.44,7.14,8.92,10.47,8,9.2,2.477744394,pink_cal_pool,0.001
1998,1999,77.8,7.78,7.64,7.5,7.38,10.82,10.31,9.84,9.44,7.74,10.69,9.86,7.92,8.94,10.15,7.4,8.96,9.89,7.65,8.85,10.07,7.35,8.91,10.36,8.37,9.38,5.622379984,pink_cal_pool,0.001
1999,2000,20.3,6.77,6.66,6.52,6.39,9.62,9.33,8.92,8.56,6.97,9.65,8.9,6.99,8.08,9.3,6.33,8.17,8.93,6.7,7.98,9.18,6.13,8.08,9.3,7.23,8.4,1.597723341,pink_cal_pool,0.001
2000,2001,67,7,6.82,6.61,6.47,10.4,9.78,9.21,8.76,7.08,10.3,9.68,7.4,8.63,10.08,7.1,8.76,9.7,7.23,8.57,10.04,7.09,8.74,10.02,7.71,8.95,3.729984668,pink_cal_pool,0.001
2001,2002,45.3,7.28,7.1,6.94,6.78,10.43,9.89,9.43,9.03,7.1,10.43,9.1,6.8,8.15,9.67,6.54,8.47,9.22,6.66,8.17,9.65,6.49,8.45,9.51,7.1,8.52,2.868826043,pink_cal_pool,0.001
2002,2003,52.5,6.88,6.73,6.56,6.39,9.5,9.02,8.57,8.2,6.54,9.35,8.92,6.41,7.83,9.44,6.31,8.08,9.05,6.39,7.88,9.41,6.32,8.06,9.44,6.92,8.33,2.784664064,pink_cal_pool,0.001
2003,2004,45.3,7.86,7.76,7.59,7.42,10.62,10.12,9.7,9.35,7.73,10.51,9.91,7.81,8.92,10.2,7.42,8.97,9.86,7.57,8.76,10.17,7.42,8.96,10.32,8.17,9.25,3.077820362,pink_cal_pool,0.001
2004,2005,59.1,8.11,7.86,7.61,7.38,11.4,10.52,9.8,9.27,8.09,11.4,10.42,8.06,9.22,10.87,7.75,9.38,10.38,7.89,9.09,10.84,7.71,9.39,10.98,8.58,9.74,3.89940674,pink_cal_pool,0.001
2005,2006,11.6,9.74,9.28,8.72,8.32,11.97,11.32,10.69,10.2,9.26,11.92,10.59,8.54,9.45,11.3,8.58,9.74,10.63,8.42,9.35,11.32,8.59,9.78,11.06,8.92,9.83,2.040345363,pink_cal_pool,0.001
2006,2007,44.8,7.28,7.16,6.93,6.77,10.04,9.55,9.11,8.77,7.28,9.99,9.74,7.23,8.66,10.36,6.9,8.97,9.72,6.98,8.55,10.28,6.88,8.93,10.19,7.63,9.07,2.572780687,pink_cal_pool,0.001
