"model","terms","fit","AdjR2","AICc","MASE","wMAPE","MAPE_LOOCV"
"m1s","CPUE",27.618,0.693,24.16,0.378,0.162,0.106
"m2s","CPUE + ISTI3_May",24.015,0.847,11.48,0.249,0.126,0.074
"m3s","CPUE + ISTI10_May",23.686,0.85,11.1,0.245,0.124,0.073
"m4s","CPUE + ISTI15_May",23.767,0.844,11.94,0.249,0.121,0.073
"m5s","CPUE + ISTI20_May",24.18,0.841,12.33,0.249,0.121,0.073
"m6s","CPUE + ISTI3_MJJ",31.126,0.82,14.96,0.276,0.115,0.083
"m7s","CPUE + ISTI10_MJJ",30.082,0.835,13.09,0.264,0.115,0.079
"m8s","CPUE + ISTI15_MJJ",28.985,0.844,11.87,0.252,0.109,0.075
"m9s","CPUE + ISTI20_MJJ",28.163,0.854,10.5,0.24,0.1,0.071
"m10s","CPUE + Chatham_SST_May",19.248,0.904,1.71,0.207,0.068,0.059
"m11s","CPUE + Chatham_SST_MJJ",23.763,0.822,14.74,0.287,0.096,0.083
"m12s","CPUE + Chatham_SST_AMJ",22.905,0.866,8.69,0.249,0.07,0.07
"m13s","CPUE + Chatham_SST_AMJJ",24.093,0.837,12.85,0.274,0.074,0.077
"m14s","CPUE + Icy_Strait_SST_May",17.952,0.914,-0.7,0.184,0.061,0.052
"m15s","CPUE + Icy_Strait_SST_MJJ",21.974,0.826,14.26,0.286,0.097,0.083
"m16s","CPUE + Icy_Strait_SST_AMJ",19.659,0.873,7.59,0.223,0.057,0.063
" m17s","CPUE + Icy_Strait_SST_AMJJ",21.809,0.836,12.92,0.276,0.077,0.078
"m18s","CPUE + NSEAK_SST_May",17.818,0.904,1.64,0.203,0.066,0.059
"m19s","CPUE + NSEAK_SST_MJJ",22.014,0.831,13.59,0.28,0.082,0.081
"m20s","CPUE + NSEAK_SST_AMJ",20.688,0.869,8.25,0.241,0.062,0.068
"m21s","CPUE + NSEAK_SST_AMJJ",22.062,0.839,12.54,0.267,0.064,0.075
"m22s","CPUE + SEAK_SST_May",18.104,0.875,7.26,0.239,0.082,0.069
"m23s","CPUE + SEAK_SST_MJJ",22.939,0.812,15.81,0.288,0.092,0.083
"m24s","CPUE + SEAK_SST_AMJ",21.143,0.848,11.43,0.26,0.074,0.074
"m25s","CPUE + SEAK_SST_AMJJ",22.618,0.821,14.87,0.278,0.077,0.079
