"region","year","SST_MJJ","SST_May"
"Chatham_Strait",1997,10.05,7.58
"Chatham_Strait",1998,9.86,7.92
"Chatham_Strait",1999,8.9,6.99
"Chatham_Strait",2000,9.68,7.41
"Chatham_Strait",2001,9.1,6.8
"Chatham_Strait",2002,8.92,6.41
"Chatham_Strait",2003,9.91,7.81
"Chatham_Strait",2004,10.42,8.06
"Chatham_Strait",2005,10.59,8.54
"Chatham_Strait",2006,9.74,7.23
"Chatham_Strait",2007,9.55,7.17
"Chatham_Strait",2008,8.65,6.86
"Chatham_Strait",2009,9.79,7.36
"Chatham_Strait",2010,9.66,8.06
"Chatham_Strait",2011,9.61,7.46
"Chatham_Strait",2012,9.2,7.12
"Chatham_Strait",2013,9.66,6.8
"Chatham_Strait",2014,9.98,8.27
"Chatham_Strait",2015,10.66,9.02
"Chatham_Strait",2016,10.97,8.97
"Chatham_Strait",2017,9.67,7.77
"Chatham_Strait",2018,9.91,7.53
"Chatham_Strait",2019,10.5,8.37
"Chatham_Strait",2020,9.98,8.19
