"model","term","estimate","std.error","statistic","p.value"
"m1","(Intercept)",2.3649073,0.196,12.092,0
"m1","CPUE",0.4219902,0.069,6.126,0
"m2","(Intercept)",7.28907017,0.972,7.501,0
"m2","CPUE",0.48422155,0.049,9.858,0
"m2","ISTI20_MJJ",-0.56124662,0.11,-5.117,0
"m3","(Intercept)",5.60267959,0.7,7.999,0
"m3","CPUE",0.48162801,0.051,9.401,0
"m3","Chatham_SST_May",-0.44909535,0.095,-4.719,0
"m4","(Intercept)",6.59243769,1.199,5.497,0
"m4","CPUE",0.44723941,0.057,7.906,0
"m4","Chatham_SST_MJJ",-0.43778483,0.123,-3.557,0.002
"m5","(Intercept)",6.32132266,0.854,7.401,0
"m5","CPUE",0.46783848,0.051,9.225,0
"m5","Chatham_SST_AMJ",-0.53087032,0.113,-4.697,0
"m6","(Intercept)",6.71155639,1.06,6.332,0
"m6","CPUE",0.45640829,0.053,8.541,0
" m6","Chatham_SST_AMJJ",-0.5085112,0.123,-4.143,0
"m7","(Intercept)",5.20572509,0.673,7.736,0
"m7","CPUE",0.49382049,0.054,9.083,0
"m7","Icy_Strait_SST_May",-0.42004113,0.097,-4.326,0
"m8","(Intercept)",6.14419417,1.133,5.422,0
"m8","CPUE",0.45226734,0.058,7.811,0
"m8","Icy_Strait_SST_MJJ",-0.38382261,0.114,-3.37,0.003
"m9","(Intercept)",5.87056064,0.879,6.678,0
"m9","CPUE",0.47615519,0.055,8.662,0
" m9","Icy_Strait_SST_AMJ",-0.48761972,0.12,-4.049,0.001
"m10","(Intercept)",6.19045308,1.039,5.959,0
"m10","CPUE",0.46235946,0.056,8.226,0
"m10","Icy_Strait_SST_AMJJ",-0.44857038,0.12,-3.725,0.001
"m11","(Intercept)",5.27475962,0.67,7.868,0
"m11","CPUE",0.45861722,0.052,8.858,0
"m11","NSEAK_SST_May",-0.40047761,0.09,-4.446,0
"m12","(Intercept)",6.38357729,1.112,5.742,0
"m12","CPUE",0.43133887,0.056,7.754,0
" m12","NSEAK_SST_MJJ",-0.40977112,0.112,-3.652,0.001
"m13","(Intercept)",6.01229325,0.839,7.167,0
"m13","CPUE",0.44863055,0.052,8.688,0
"m13","NSEAK_SST_AMJ",-0.49119094,0.111,-4.415,0
"m14","(Intercept)",6.41347274,1.023,6.27,0
"m14","CPUE",0.44054009,0.054,8.192,0
"m14","NSEAK_SST_AMJJ",-0.47163715,0.118,-4.002,0.001
"m15","(Intercept)",5.27037393,0.731,7.213,0
"m15","CPUE",0.4561208,0.054,8.465,0
" m15","SEAK_SST_May",-0.36966579,0.091,-4.065,0.001
"m16","(Intercept)",6.14299152,1.124,5.467,0
"m16","CPUE",0.42388729,0.057,7.431,0
"m16","SEAK_SST_MJJ",-0.36516218,0.107,-3.398,0.003
"m17","(Intercept)",5.97040345,0.885,6.748,0
"m17","CPUE",0.44617038,0.053,8.394,0
"m17","SEAK_SST_AMJ",-0.45055372,0.109,-4.135,0
"m18","(Intercept)",6.21007075,1.052,5.901,0
"m18","CPUE",0.43348786,0.055,7.823,0
" m18","SEAK_SST_AMJJ",-0.42037899,0.114,-3.695,0.001
