"","MAPE"
"CPUE",0.189222714938222
"CPUE + ISTI20_MJJ",0.139739782693026
"CPUE + Chatham_SST_May",0.125423108230548
"CPUE + Chatham_SST_MJJ",0.16676696426543
"CPUE + Chatham_SST_AMJ",0.129096171018329
"CPUE + Chatham_SST_AMJJ",0.144893660176479
"CPUE + Icy_Strait_SST_May",0.133420871550018
"CPUE + Icy_Strait_SST_MJJ",0.168259871706552
"CPUE + Icy_Strait_SST_AMJ",0.139215419725696
"CPUE + Icy_Strait_SST_AMJJ",0.149992286787486
"CPUE + NSEAK_SST_May",0.123567352552236
"CPUE + NSEAK_SST_MJJ",0.156157673189449
"CPUE + NSEAK_SST_AMJ",0.124003506159868
"CPUE + NSEAK_SST_AMJJ",0.137173162662644
"CPUE + SEAK_SST_May",0.138840239490202
"CPUE + SEAK_SST_MJJ",0.163861674452087
"CPUE + SEAK_SST_AMJ",0.135854145513018
"CPUE + SEAK_SST_AMJJ",0.148180037644744
