"Year","fitted_values","year_minus","type","model_name"
1998,28.16,6,"estimate","m2"
1999,111.1,6,"estimate","m2"
2000,27.27,6,"estimate","m2"
2001,64.77,6,"estimate","m2"
2002,38.3,6,"estimate","m2"
2003,56.36,6,"estimate","m2"
2004,36.44,6,"estimate","m2"
2005,52.32,6,"estimate","m2"
2006,14.23,6,"estimate","m2"
2007,38.67,6,"estimate","m2"
2008,18.44,6,"estimate","m2"
2009,53,6,"estimate","m2"
2010,25.21,6,"estimate","m2"
2011,56.99,6,"estimate","m2"
2012,24.93,6,"estimate","m2"
2013,68.49,6,"estimate","m2"
2014,30.28,6,"estimate","m2"
2015,55.81,6,"estimate","m2"
2016,23.4,6,"estimate","m2"
