"Year","fitted_values","year_minus","type"
1998,30.69,10,"estimate"
1999,121.69,10,"estimate"
2000,26.7,10,"estimate"
2001,58.87,10,"estimate"
2002,50.09,10,"estimate"
2003,53.92,10,"estimate"
2004,37.13,10,"estimate"
2005,47.85,10,"estimate"
2006,15.52,10,"estimate"
2007,37.84,10,"estimate"
2008,19.89,10,"estimate"
2009,38.81,10,"estimate"
2010,28.89,10,"estimate"
2011,56.23,10,"estimate"
2012,20.06,10,"estimate"
1998,31.35,9,"estimate"
1999,132.12,9,"estimate"
2000,27.53,9,"estimate"
2001,62.29,9,"estimate"
2002,53.34,9,"estimate"
2003,58.02,9,"estimate"
2004,38.07,9,"estimate"
2005,49.28,9,"estimate"
2006,14.91,9,"estimate"
2007,39.42,9,"estimate"
2008,20.11,9,"estimate"
2009,40.83,9,"estimate"
2010,29.44,9,"estimate"
2011,58.58,9,"estimate"
2012,20.11,9,"estimate"
2013,64.26,9,"estimate"
1998,31.28,8,"estimate"
1999,131.77,8,"estimate"
2000,27.49,8,"estimate"
2001,62.16,8,"estimate"
2002,53.26,8,"estimate"
2003,57.94,8,"estimate"
2004,37.98,8,"estimate"
2005,49.15,8,"estimate"
2006,14.87,8,"estimate"
2007,39.35,8,"estimate"
2008,20.08,8,"estimate"
2009,40.77,8,"estimate"
2010,29.38,8,"estimate"
2011,58.43,8,"estimate"
2012,20.07,8,"estimate"
2013,64.14,8,"estimate"
2014,38.12,8,"estimate"
1998,30.97,7,"estimate"
1999,128.98,7,"estimate"
2000,27.6,7,"estimate"
2001,61.54,7,"estimate"
2002,53.4,7,"estimate"
2003,58.4,7,"estimate"
2004,37.4,7,"estimate"
2005,48.03,7,"estimate"
2006,14.43,7,"estimate"
2007,39.23,7,"estimate"
2008,20.09,7,"estimate"
2009,40.93,7,"estimate"
2010,29.1,7,"estimate"
2011,57.23,7,"estimate"
2012,19.94,7,"estimate"
2013,63.87,7,"estimate"
2014,38.32,7,"estimate"
2015,40.01,7,"estimate"
1998,31.73,6,"estimate"
1999,127.48,6,"estimate"
2000,27.48,6,"estimate"
2001,61.15,6,"estimate"
2002,51.8,6,"estimate"
2003,55.71,6,"estimate"
2004,38.49,6,"estimate"
2005,49.8,6,"estimate"
2006,16.05,6,"estimate"
2007,39.12,6,"estimate"
2008,20.44,6,"estimate"
2009,40.05,6,"estimate"
2010,29.85,6,"estimate"
2011,58.56,6,"estimate"
2012,20.66,6,"estimate"
2013,62.49,6,"estimate"
2014,37.48,6,"estimate"
2015,42.33,6,"estimate"
2016,15.73,6,"estimate"
1998,31.59,5,"estimate"
1999,125.22,5,"estimate"
2000,27.65,5,"estimate"
2001,60.74,5,"estimate"
2002,51.96,5,"estimate"
2003,56.08,5,"estimate"
2004,38.15,5,"estimate"
2005,49.03,5,"estimate"
2006,15.79,5,"estimate"
2007,39.11,5,"estimate"
2008,20.55,5,"estimate"
2009,40.25,5,"estimate"
2010,29.74,5,"estimate"
2011,57.71,5,"estimate"
2012,20.66,5,"estimate"
2013,62.32,5,"estimate"
2014,37.72,5,"estimate"
2015,41.55,5,"estimate"
2016,15.36,5,"estimate"
2017,38.43,5,"estimate"
1998,31.26,4,"estimate"
1999,128.46,4,"estimate"
2000,27.24,4,"estimate"
2001,61.11,4,"estimate"
2002,52.01,4,"estimate"
2003,56.22,4,"estimate"
2004,37.95,4,"estimate"
2005,49.12,4,"estimate"
2006,15.38,4,"estimate"
2007,38.89,4,"estimate"
2008,20.09,4,"estimate"
2009,40.02,4,"estimate"
2010,29.38,4,"estimate"
2011,58.05,4,"estimate"
2012,20.21,4,"estimate"
2013,62.71,4,"estimate"
2014,37.44,4,"estimate"
2015,41.46,4,"estimate"
