Year,fitted_values,year_minus,type,model_name,forecast_model,forecast_model_name
2014,30.41808586,10,forecast,m1,2013,CPUE
2015,62.37064003,9,forecast,m1,2014,CPUE
2016,34.80133787,8,forecast,m1,2015,CPUE
2017,73.44226739,7,forecast,m1,2016,CPUE
2018,15.55429443,6,forecast,m1,2017,CPUE
2019,18.93219345,5,forecast,m1,2018,CPUE
2020,19.08008669,4,forecast,m1,2019,CPUE
2021,27.51179893,3,forecast,m1,2020,CPUE
2022,16.50537528,2,forecast,m1,2021,CPUE
2023,21.4303127,1,forecast,m1,2022,CPUE
2024,20.981,0,forecast,m1,2023,CPUE
2014,30.27383339,10,forecast,m2,2013,CPUE + ISTI
2015,58.82120423,9,forecast,m2,2014,CPUE + ISTI
2016,24.24133035,8,forecast,m2,2015,CPUE + ISTI
2017,41.06355043,7,forecast,m2,2016,CPUE + ISTI
2018,15.6199464,6,forecast,m2,2017,CPUE + ISTI
2019,16.70567244,5,forecast,m2,2018,CPUE + ISTI
2020,10.15673048,4,forecast,m2,2019,CPUE + ISTI
2021,28.12800828,3,forecast,m2,2020,CPUE + ISTI
2022,15.57260363,2,forecast,m2,2021,CPUE + ISTI
2023,19.8965719,1,forecast,m2,2022,CPUE + ISTI
2024,19.983,0,forecast,m2,2023,CPUE + ISTI
2014,30.85044237,10,forecast,m19,2013,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2015,61.96150392,9,forecast,m19,2014,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2016,28.59571311,8,forecast,m19,2015,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2017,45.22100078,7,forecast,m19,2016,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2018,16.80184929,6,forecast,m19,2017,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2019,16.15097749,5,forecast,m19,2018,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2020,10.09740243,4,forecast,m19,2019,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2021,28.55083691,3,forecast,m19,2020,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2022,16.41298183,2,forecast,m19,2021,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2023,28.04837816,1,forecast,m19,2022,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
2024,8.913,0,forecast,m19,2023,CPUE + ISTI20_MJJ + zoo_density_June + condition_July
