Year,fitted_values,year_minus,type,model_name,forecast_model,forecast_model_name
2014,36.99927642,10,forecast,m3,2013,CPUE + Chatham_SST_May
2015,43.7602974,9,forecast,m3,2014,CPUE + Chatham_SST_May
2016,14.92102214,8,forecast,m3,2015,CPUE + Chatham_SST_May
2017,40.91760218,7,forecast,m3,2016,CPUE + Chatham_SST_May
2018,10.08178293,6,forecast,m3,2017,CPUE + Chatham_SST_May
2019,16.26946224,5,forecast,m3,2018,CPUE + Chatham_SST_May
2020,11.14282774,4,forecast,m3,2019,CPUE + Chatham_SST_May
2021,19.00066824,3,forecast,m3,2020,CPUE + Chatham_SST_May
2022,16.42232406,2,forecast,m3,2021,CPUE + Chatham_SST_May
2023,19.51859669,1,forecast,m3,2022,CPUE + Chatham_SST_May
2024,18.915,0,forecast,m3,2023,CPUE + Chatham_SST_May
2014,33.55348102,10,forecast,m3a,2013,CPUE + Chatham_SST_May + esc_index_log
2015,50.49123243,9,forecast,m3a,2014,CPUE + Chatham_SST_May + esc_index_log
2016,14.32984599,8,forecast,m3a,2015,CPUE + Chatham_SST_May + esc_index_log
2017,37.30602898,7,forecast,m3a,2016,CPUE + Chatham_SST_May + esc_index_log
2018,9.724735058,6,forecast,m3a,2017,CPUE + Chatham_SST_May + esc_index_log
2019,16.71943858,5,forecast,m3a,2018,CPUE + Chatham_SST_May + esc_index_log
2020,10.00924163,4,forecast,m3a,2019,CPUE + Chatham_SST_May + esc_index_log
2021,16.88991486,3,forecast,m3a,2020,CPUE + Chatham_SST_May + esc_index_log
2022,16.25054734,2,forecast,m3a,2021,CPUE + Chatham_SST_May + esc_index_log
2023,19.93151757,1,forecast,m3a,2022,CPUE + Chatham_SST_May + esc_index_log
2024,18.379,0,forecast,m3a,2023,CPUE + Chatham_SST_May + esc_index_log
2014,36.50229478,10,forecast,m7,2013,CPUE + Icy_Strait_SST_May
2015,44.4346598,9,forecast,m7,2014,CPUE + Icy_Strait_SST_May
2016,17.67449989,8,forecast,m7,2015,CPUE + Icy_Strait_SST_May
2017,38.16708468,7,forecast,m7,2016,CPUE + Icy_Strait_SST_May
2018,10.29990513,6,forecast,m7,2017,CPUE + Icy_Strait_SST_May
2019,16.98859628,5,forecast,m7,2018,CPUE + Icy_Strait_SST_May
2020,11.59713766,4,forecast,m7,2019,CPUE + Icy_Strait_SST_May
2021,18.15067716,3,forecast,m7,2020,CPUE + Icy_Strait_SST_May
2022,15.84900615,2,forecast,m7,2021,CPUE + Icy_Strait_SST_May
2023,19.57650851,1,forecast,m7,2022,CPUE + Icy_Strait_SST_May
2024,19.091,0,forecast,m7,2023,CPUE + Icy_Strait_SST_May
2014,33.17691423,10,forecast,m7a,2013,CPUE + Icy_Strait_SST_May + esc_index_log
2015,51.07556703,9,forecast,m7a,2014,CPUE + Icy_Strait_SST_May + esc_index_log
2016,17.12711159,8,forecast,m7a,2015,CPUE + Icy_Strait_SST_May + esc_index_log
2017,34.80159432,7,forecast,m7a,2016,CPUE + Icy_Strait_SST_May + esc_index_log
2018,9.979322368,6,forecast,m7a,2017,CPUE + Icy_Strait_SST_May + esc_index_log
2019,17.42691623,5,forecast,m7a,2018,CPUE + Icy_Strait_SST_May + esc_index_log
2020,10.51947564,4,forecast,m7a,2019,CPUE + Icy_Strait_SST_May + esc_index_log
2021,16.25125468,3,forecast,m7a,2020,CPUE + Icy_Strait_SST_May + esc_index_log
2022,15.72243721,2,forecast,m7a,2021,CPUE + Icy_Strait_SST_May + esc_index_log
2023,19.9247812,1,forecast,m7a,2022,CPUE + Icy_Strait_SST_May + esc_index_log
2024,18.589,0,forecast,m7a,2023,CPUE + Icy_Strait_SST_May + esc_index_log
2014,38.17208413,10,forecast,m11,2013,CPUE + NSEAK_SST_May
2015,41.14801482,9,forecast,m11,2014,CPUE + NSEAK_SST_May
2016,13.76221546,8,forecast,m11,2015,CPUE + NSEAK_SST_May
2017,39.59547829,7,forecast,m11,2016,CPUE + NSEAK_SST_May
2018,9.435039342,6,forecast,m11,2017,CPUE + NSEAK_SST_May
2019,15.00735122,5,forecast,m11,2018,CPUE + NSEAK_SST_May
2020,10.46361937,4,forecast,m11,2019,CPUE + NSEAK_SST_May
2021,17.50556444,3,forecast,m11,2020,CPUE + NSEAK_SST_May
2022,16.21461809,2,forecast,m11,2021,CPUE + NSEAK_SST_May
2023,18.82449143,1,forecast,m11,2022,CPUE + NSEAK_SST_May
2024,19.233,0,forecast,m11,2023,CPUE + NSEAK_SST_May
2014,34.64465671,10,forecast,m11a,2013,CPUE + NSEAK_SST_May + esc_index_log
2015,47.45595694,9,forecast,m11a,2014,CPUE + NSEAK_SST_May + esc_index_log
2016,13.08473777,8,forecast,m11a,2015,CPUE + NSEAK_SST_May + esc_index_log
2017,35.88935859,7,forecast,m11a,2016,CPUE + NSEAK_SST_May + esc_index_log
2018,9.101956371,6,forecast,m11a,2017,CPUE + NSEAK_SST_May + esc_index_log
2019,15.43628138,5,forecast,m11a,2018,CPUE + NSEAK_SST_May + esc_index_log
2020,9.39404095,4,forecast,m11a,2019,CPUE + NSEAK_SST_May + esc_index_log
2021,15.68947747,3,forecast,m11a,2020,CPUE + NSEAK_SST_May + esc_index_log
2022,16.08921167,2,forecast,m11a,2021,CPUE + NSEAK_SST_May + esc_index_log
2023,19.150672,1,forecast,m11a,2022,CPUE + NSEAK_SST_May + esc_index_log
2024,18.703,0,forecast,m11a,2023,CPUE + NSEAK_SST_May + esc_index_log
