"Year","fitted_values","year_minus","type","model_name"
1998,32.59,5,"estimate","m1"
1999,119.8,5,"estimate","m1"
2000,22.63,5,"estimate","m1"
2001,54.72,5,"estimate","m1"
2002,38.31,5,"estimate","m1"
2003,36.91,5,"estimate","m1"
2004,41.79,5,"estimate","m1"
2005,58.72,5,"estimate","m1"
2006,27.16,5,"estimate","m1"
2007,33.97,5,"estimate","m1"
2008,18.93,5,"estimate","m1"
2009,30.5,5,"estimate","m1"
2010,30.62,5,"estimate","m1"
2011,64.06,5,"estimate","m1"
2012,21.8,5,"estimate","m1"
2013,50.16,5,"estimate","m1"
2014,28.3,5,"estimate","m1"
2015,56.33,5,"estimate","m1"
2016,32.19,5,"estimate","m1"
2017,70.76,5,"estimate","m1"
2018,13.48,5,"estimate","m1"
