"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1999,77.82,0.02,0.39,0,0.07,80.25
2001,67.02,0.1,0.14,0.01,0.35,63.51
2003,52.47,-0.14,0.31,0.04,-0.55,63.25
2005,59.12,0.15,0.12,0.01,0.52,53.35
2007,44.8,-0.08,0.13,0,-0.29,50.97
2009,38.02,-0.3,0.22,0.11,-1.09,53.53
2011,58.88,0.03,0.12,0,0.11,59.83
2013,94.72,0.43,0.17,0.16,1.54,64.53
2015,35.09,-0.35,0.12,0.07,-1.21,51.99
2017,34.73,-0.23,0.42,0.23,-0.98,45.67
2019,21.14,-0.39,0.33,0.39,-1.54,32.6
2021,48.53,0.39,0.28,0.29,1.51,34.36
2023,47.84,0.36,0.26,0.21,1.36,35.05
