"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","MASE","MASE2","wMAPE"
"CPUE",3.12343556900361,2.53003262193696,3.71683851607026,0.101539569222027,25,0.439211394757043,0.566421822237716,0.549078695127225,36.1149126644336,37.1583909253031,40.0024232624465,5.94026779162362e-06,0.439211394757043,0.106530449613422,0.115530256990095,0.380870915678501,0.380870915678501,0.101379926502569
"CPUE + ISTI20_MJJ",2.91327149193699,2.4591771943333,3.36736578954068,0.0903403239569685,24,0.33252228402211,0.76142058953852,0.741538972000064,21.985925148435,23.8041069666169,27.1692726124524,3.40091308509142e-08,0.33252228402211,0.0756725343142175,0.0863553285350102,0.277406060129447,0.277406060129447,0.0992328591360738
"CPUE + Chatham_SST_May",2.98582596407649,2.51585433345154,3.45579759470145,0.0869158875787798,24,0.34587013192373,0.741882428510971,0.720372630886886,24.1111753855826,25.9293572037644,29.2945228495999,8.74602761965096e-08,0.34587013192373,0.0763358916265408,0.0863410494924125,0.280596942838998,0.280596942838998,0.121792883842022
"CPUE + Chatham_SST_MJJ",3.15083544489191,2.62281158086218,3.67885930892164,0.0907637129127063,24,0.390259368155308,0.671376871809999,0.643991611127499,30.631578255331,32.4497600735128,35.8149257193483,1.58627143978199e-06,0.390259368155308,0.094777992517788,0.107640273959108,0.34258427874745,0.34258427874745,0.12719314737027
"CPUE + Chatham_SST_AMJ",2.95053677522129,2.48254248970512,3.41853106073747,0.0898974447150105,24,0.343556442431426,0.745324219910498,0.724101238236373,23.7487301121424,25.5669119303242,28.9320775761597,7.44477781942057e-08,0.343556442431426,0.0778915909564428,0.087397636426388,0.2869764930238,0.2869764930238,0.115887078667117
"CPUE + Chatham_SST_AMJJ",3.0553465628768,2.55535785970636,3.55533526604724,0.0876890052133091,24,0.369128711922768,0.706000152119442,0.681500164796062,27.6256051502835,29.4437869684653,32.8089526143008,4.17028051060473e-07,0.369128711922768,0.0878122497378394,0.099017946477711,0.320261818022838,0.320261818022838,0.122531197708281
"CPUE + Icy_Strait_SST_May",2.98180665929276,2.49831024096358,3.46530307762195,0.0904180517717929,24,0.355570518980405,0.727200894150606,0.704467635329823,25.6048279060111,27.4230097241929,30.7881753700284,1.69869461505933e-07,0.355570518980405,0.0751932143006305,0.0858004201994456,0.275516055414336,0.275516055414336,0.125535080481653
"CPUE + Icy_Strait_SST_MJJ",3.16656832901687,2.63624490336471,3.69689175466903,0.0919465523918351,24,0.391774961232645,0.668819464618337,0.641221086669865,30.8408839739274,32.6590657921093,36.0242314379448,1.74091531809025e-06,0.391774961232645,0.0946669429148514,0.107738156492649,0.343078111443072,0.343078111443072,0.127483014699808
"CPUE + Icy_Strait_SST_AMJ",2.98597257995537,2.49516259926751,3.47678256064323,0.0917374327592266,24,0.360961306056304,0.718866402530103,0.695438602740945,26.4173751913141,28.2355570094959,31.6007226553314,2.43754700889188e-07,0.360961306056304,0.0817584550343168,0.0925155534933741,0.298189967699439,0.298189967699439,0.126437218790504
"CPUE + Icy_Strait_SST_AMJJ",3.07146161883745,2.56061742506543,3.58230581260947,0.0887887474338914,24,0.377333157319639,0.692785725967409,0.667184536464693,28.8126929611808,30.6308747793626,33.9960404251981,7.06800233556427e-07,0.377333157319639,0.0905022554085787,0.102193169595689,0.329480692997642,0.329480692997642,0.127622259204016
