"Terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","MAPE5","AICc"
"Icy_Strait_SST_May","m7",17.9,9.6,33.6,0.67,54.8,1
"Chatham_SST_May","m3",18.1,9.7,33.8,0.67,57.6,0.700000000000003
"NSEAK_SST_May","m11",19.2,10.2,36,0.67,58.2,0.700000000000003
"NSEAK_SST_AMJ","m13",20.7,11,38.9,0.68,59.5,0.100000000000001
"ISTI20_JJ","m2",22.1,11.1,43.9,0.64,59.7,2.9
"Chatham_SST_AMJ","m5",19.3,10.4,36,0.68,60,0
"Icy_Strait_SST_AMJ","m9",20.3,10.7,38.3,0.67,60,0.700000000000003
"SEAK_SST_May","m15",19,10.1,36,0.66,61.3,1.2
"NSEAK_SST_AMJJ","m14",21.7,11.2,42.1,0.66,61.5,1.7
"Chatham_SST_AMJJ","m6",20.3,10.6,39,0.66,61.9,1.8
"SEAK_SST_AMJ","m17",19.9,10.6,37.4,0.67,62.4,0.5
"no temperature index included","m1",15.9,8,31.6,0.6,62.5,2.6
"SEAK_SST_AMJJ","m18",20.7,10.8,39.8,0.66,62.5,1.6
"Icy_Strait_SST_AMJJ","m10",21.7,11.1,42.4,0.65,63.2,2.2
"SEAK_SST_MJJ","m16",21,10.6,41.4,0.64,65.5,3
"Chatham_SST_MJJ","m4",20.2,10.2,40.1,0.63,65.6,3.7
"NSEAK_SST_MJJ","m12",21.9,10.9,43.9,0.64,65.7,3.2
"Icy_Strait_SST_MJJ","m8",21.5,10.7,43.4,0.63,66.8,3.7
