"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1a","(Intercept)",2.48396403,0.17,14.614,0
"m1a","CPUE",0.3051141,0.074,4.149,0
"m1a","as.factor(odd_even_factor)odd",0.40863219,0.178,2.293,0.031
"m2a","(Intercept)",6.76809534,1.142,5.927,0
"m2a","CPUE",0.39954747,0.064,6.198,0
"m2a","as.factor(odd_even_factor)odd",0.20402592,0.154,1.326,0.197
"m2a","ISTI20_MJJ",-0.48698216,0.129,-3.779,0.001
"m3a","(Intercept)",5.50939755,0.701,7.855,0
"m3a","CPUE",0.36398211,0.057,6.331,0
"m3a","as.factor(odd_even_factor)odd",0.36583395,0.136,2.694,0.013
"m3a","Chatham_SST_May",-0.41660775,0.095,-4.389,0
"m4a","(Intercept)",5.82340019,1.25,4.657,0
"m4a","CPUE",0.33372891,0.067,5.008,0
"m4a","as.factor(odd_even_factor)odd",0.34989949,0.161,2.175,0.04
"m4a","Chatham_SST_MJJ",-0.34439087,0.128,-2.691,0.013
"m5a","(Intercept)",6.09833092,0.865,7.053,0
"m5a","CPUE",0.36034356,0.058,6.181,0
"m5a","as.factor(odd_even_factor)odd",0.34020189,0.139,2.454,0.022
"m5a","Chatham_SST_AMJ",-0.48422978,0.115,-4.229,0
"m6a","(Intercept)",6.19340218,1.108,5.59,0
"m6a","CPUE",0.34534996,0.063,5.487,0
"m6a","as.factor(odd_even_factor)odd",0.34064,0.151,2.254,0.034
"m6a","Chatham_SST_AMJJ",-0.43237058,0.128,-3.376,0.003
"m7a","(Intercept)",5.20265687,0.655,7.944,0
"m7a","CPUE",0.37092589,0.059,6.302,0
"m7a","as.factor(odd_even_factor)odd",0.39282335,0.138,2.854,0.009
"m7a","Icy_Strait_SST_May",-0.39859706,0.094,-4.237,0
"m8a","(Intercept)",5.59425821,1.146,4.883,0
"m8a","CPUE",0.3401276,0.067,5.095,0
"m8a","as.factor(odd_even_factor)odd",0.36215093,0.16,2.268,0.033
"m8a","Icy_Strait_SST_MJJ",-0.31597058,0.115,-2.739,0.011
"m9a","(Intercept)",5.85054884,0.838,6.985,0
"m9a","CPUE",0.36057187,0.059,6.079,0
"m9a","as.factor(odd_even_factor)odd",0.39349563,0.14,2.812,0.01
"m9a","Icy_Strait_SST_AMJ",-0.46815502,0.115,-4.071,0
"m10a","(Intercept)",5.8718227,1.038,5.654,0
"m10a","CPUE",0.34925711,0.064,5.482,0
"m10a","as.factor(odd_even_factor)odd",0.36721111,0.151,2.425,0.023
"m10a","Icy_Strait_SST_AMJJ",-0.39698638,0.121,-3.294,0.003
"m11a","(Intercept)",5.24553297,0.657,7.983,0
"m11a","CPUE",0.33470297,0.057,5.882,0
"m11a","as.factor(odd_even_factor)odd",0.40090428,0.137,2.929,0.007
"m11a","NSEAK_SST_May",-0.37647491,0.088,-4.288,0
"m12a","(Intercept)",5.62221875,1.145,4.91,0
"m12a","CPUE",0.31021768,0.065,4.744,0
"m12a","as.factor(odd_even_factor)odd",0.38561173,0.159,2.431,0.023
"m12a","NSEAK_SST_MJJ",-0.31721731,0.115,-2.765,0.011
"m13a","(Intercept)",5.83233856,0.832,7.014,0
"m13a","CPUE",0.3284517,0.058,5.666,0
"m13a","as.factor(odd_even_factor)odd",0.39115903,0.14,2.797,0.01
"m13a","NSEAK_SST_AMJ",-0.44824113,0.11,-4.079,0
"m14a","(Intercept)",5.90247383,1.048,5.632,0
"m14a","CPUE",0.31846439,0.062,5.102,0
"m14a","as.factor(odd_even_factor)odd",0.38571913,0.151,2.553,0.017
"m14a","NSEAK_SST_AMJJ",-0.39496134,0.12,-3.293,0.003
"m15a","(Intercept)",5.24640134,0.71,7.386,0
"m15a","CPUE",0.33058205,0.059,5.63,0
"m15a","as.factor(odd_even_factor)odd",0.40591059,0.141,2.87,0.008
"m15a","SEAK_SST_May",-0.34779056,0.088,-3.961,0.001
"m16a","(Intercept)",5.50808248,1.136,4.849,0
"m16a","CPUE",0.30068543,0.066,4.567,0
"m16a","as.factor(odd_even_factor)odd",0.39789291,0.16,2.494,0.02
"m16a","SEAK_SST_MJJ",-0.28922347,0.108,-2.686,0.013
"m17a","(Intercept)",5.77029986,0.875,6.591,0
"m17a","CPUE",0.32332934,0.059,5.434,0
"m17a","as.factor(odd_even_factor)odd",0.39861373,0.144,2.773,0.011
"m17a","SEAK_SST_AMJ",-0.40765654,0.107,-3.801,0.001
"m18a","(Intercept)",5.78378448,1.057,5.47,0
"m18a","CPUE",0.30822739,0.063,4.882,0
"m18a","as.factor(odd_even_factor)odd",0.40165226,0.153,2.625,0.015
"m18a","SEAK_SST_AMJJ",-0.35722261,0.113,-3.151,0.004
