"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.42,0.09,0.05,1.41,29.28
1999,77.82,-0.26,0.29,0.1,-0.99,106.13
2000,20.25,-0.24,0.12,0.02,-0.8,26.91
2001,67.02,0.07,0.09,0,0.23,65.73
2002,45.32,0.18,0.16,0.02,0.63,39.71
2003,52.47,-0.21,0.19,0.03,-0.75,68.11
2004,45.31,0.38,0.13,0.06,1.29,32.62
2005,59.12,0.07,0.1,0,0.22,58.18
2006,11.61,-0.35,0.13,0.05,-1.2,17.3
2007,44.8,0.03,0.09,0,0.12,45.44
2008,15.91,-0.3,0.12,0.03,-1.01,22.52
2009,38.02,-0.33,0.17,0.07,-1.15,55.41
2010,24.14,-0.17,0.1,0.01,-0.57,30.07
2011,58.88,-0.04,0.11,0,-0.13,64.25
2012,21.28,0.08,0.08,0,0.27,20.58
2013,94.72,0.35,0.11,0.04,1.2,69.78
2014,37.17,0.24,0.11,0.02,0.8,30.83
2015,35.09,-0.5,0.09,0.07,-1.66,60.59
2016,18.37,0.15,0.22,0.02,0.55,16.56
2017,34.73,-0.07,0.35,0.01,-0.28,39.12
2018,8.07,-0.37,0.15,0.08,-1.29,12.31
2019,21.14,-0.14,0.2,0.01,-0.49,25.49
2020,8.06,-0.34,0.19,0.08,-1.2,11.87
2021,48.53,0.51,0.12,0.1,1.75,30.49
2022,18.3,0.22,0.1,0.02,0.73,15.48
2023,47.84,0.64,0.17,0.25,2.22,26.62
2024,20.12,0.1,0.09,0,0.33,19.16
2025,22,-0.13,0.16,0.01,-0.45,26.29
