"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","wMAPE"
"no temperature index included",2.87709869674579,2.32782886243034,3.42636853106124,0.113660756294752,25,0.40149041182617,0.64238356069443,0.613774245549984,33.1833435722079,34.9224740069905,38.5121616129087,2.61648611177766e-06,0.40149041182617,0.0976220612928755,0.109664696108493,0.0890641436218182
"ISTI20_JJ",3.04671683255427,2.54134715995201,3.55208650515653,0.122473290616272,24,0.36340152117202,0.718737499630667,0.6835796870845,28.4585103475436,31.1857830748163,35.1195328984196,8.49728576266819e-07,0.36340152117202,0.0836622573074128,0.100942508451768,0.0760719220962152
"Chatham_SST_May",2.86636719781599,2.44793625626594,3.28479813936604,0.0865203589750512,24,0.30549822698825,0.801227756469753,0.776381226028472,18.7389057988175,21.4661785260903,25.3999283496936,1.38512028767638e-08,0.30549822698825,0.0726954644831726,0.0856320579549456,0.0943059253761555
"Chatham_SST_MJJ",2.98419171587268,2.48859950192407,3.47978392982128,0.109462689743946,24,0.359781798847104,0.724312719618365,0.689851809570661,27.8979162702998,30.6251889975726,34.5589388211759,6.70571628418993e-07,0.359781798847104,0.0882428334229765,0.103833153682266,0.10929231304837
"Chatham_SST_AMJ",2.89678781115821,2.47172400594537,3.32185161637105,0.0879735768081846,24,0.310317754044539,0.794906640921038,0.769269971036168,19.6154631925983,22.342735919871,26.2764857434743,2.0094592246554e-08,0.310317754044539,0.0744407369530787,0.0870467334310683,0.0831638181417954
"Chatham_SST_AMJJ",2.9374467675781,2.47413609803282,3.40075743712339,0.0973089166438131,24,0.33783421124727,0.756922027524764,0.72653728096536,24.3731386506051,27.1004113778778,31.0341612014811,1.51007014032303e-07,0.33783421124727,0.0816851814771339,0.0956591163645833,0.0993807711506504
"Icy_Strait_SST_May",2.86851725123291,2.44361418640872,3.29342031605711,0.0878477059165417,24,0.310226643168442,0.795027056154758,0.769405438174103,19.5990188926545,22.3262916199272,26.2600414435305,1.99548413285552e-08,0.310226643168442,0.0716711793794207,0.0846305852436848,0.0979166127691724
"Icy_Strait_SST_MJJ",3.05930297323747,2.56060148546248,3.55800446101245,0.121611444624278,24,0.35835151274622,0.726500311697886,0.692312850660122,27.6748486970126,30.4021214242853,34.3358712478886,6.10259566556399e-07,0.35835151274622,0.0883042415574205,0.104092835991321,0.10619585451161
"Icy_Strait_SST_AMJ",2.94726182211062,2.51464024859683,3.37988339562441,0.0909525106684922,24,0.315430803074272,0.788092389309418,0.761603937973095,20.5306458649995,23.2579185922723,27.1916684158756,2.96296014070437e-08,0.315430803074272,0.074139922723852,0.0865978452906987,0.09067885018831
"Icy_Strait_SST_AMJJ",3.01075025659985,2.54127944305322,3.48022107014647,0.10466241387033,24,0.340522228066105,0.753038483032169,0.722168293411191,24.816945832182,27.5442185594548,31.477968383058,1.82219232637307e-07,0.340522228066105,0.0829784215288511,0.0972198791027445,0.0992816902019014
"NSEAK_SST_May",2.8948839618559,2.47201713193832,3.31775079177349,0.0874966911407516,24,0.308720141787384,0.797012973627854,0.771639595331336,19.3264130855382,22.053685812811,25.9874356364143,1.77746069050969e-08,0.308720141787384,0.0738184782820033,0.0870249433265654,0.0985616772386821
"NSEAK_SST_MJJ",2.98512060429485,2.49272767816235,3.47751353042734,0.108595851182886,24,0.357507935449989,0.727786459842396,0.693759767322696,27.5428665025333,30.270139229806,34.2038890534093,5.77157430400559e-07,0.357507935449989,0.0870408134376375,0.102639441867799,0.112301200962622
"NSEAK_SST_AMJ",2.91209735298654,2.48033200311526,3.34386270285782,0.0896268132660901,24,0.315134614157171,0.78849016414412,0.762051434662135,20.4780372692083,23.205309996481,27.1390598200843,2.89756478802578e-08,0.315134614157171,0.0757235450470596,0.0885743541518247,0.0920841491512757
"NSEAK_SST_AMJJ",2.94163055816504,2.47452792534682,3.40873319098326,0.0983875127393546,24,0.340517810544171,0.753044890548342,0.722175501866885,24.8162193514634,27.5434920787361,31.4772419023394,1.82163206268745e-07,0.340517810544171,0.0820257331400597,0.0962059301558319,0.104933831668014
"SEAK_SST_May",2.88191075096175,2.44508532777368,3.31873617414983,0.0902979033547297,24,0.3189354634411,0.783357341489974,0.756277009176221,21.14941450921,23.8766872364827,27.810437060086,3.85221647781598e-08,0.3189354634411,0.0772062067018833,0.0905810802190949,0.100766998081446
"SEAK_SST_MJJ",2.93130496993478,2.43762049878558,3.42498944108397,0.10390110326983,24,0.359920645222462,0.724099893033693,0.689612379662905,27.9195235252996,30.6467962525723,34.5805460761756,6.76720832576994e-07,0.359920645222462,0.0874373163825712,0.102613966822254,0.113513573805742
"SEAK_SST_AMJ",2.86025343924506,2.41644237739661,3.30406450109352,0.0918336889986998,24,0.324009833235686,0.776408786667303,0.748459885000716,22.0333796314792,24.760652358752,28.6944021823553,5.60389734601727e-08,0.324009833235686,0.0787402282609095,0.0919141227736452,0.0957619020325258
"SEAK_SST_AMJJ",2.88369298301546,2.41107260780971,3.35631335822121,0.0977099237901263,24,0.34506651627478,0.746403070971065,0.714703454842448,25.5593263589705,28.2865990862432,32.2203489098465,2.49481934141147e-07,0.34506651627478,0.0836114487095353,0.0977259761039449,0.106710171866456
