"","MAPE5"
"no temperature index included",28.7491113532098
"ISTI20_JJ",20.5015933242864
"Chatham_SST_May",25.438590180134
"Chatham_SST_MJJ",31.2190649985159
"Chatham_SST_AMJ",22.880534027675
"Chatham_SST_AMJJ",28.2076628419354
"Icy_Strait_SST_May",26.2575873673927
"Icy_Strait_SST_MJJ",28.657396956964
"Icy_Strait_SST_AMJ",23.3322492933956
"Icy_Strait_SST_AMJJ",25.9672037098687
"NSEAK_SST_May",25.7743821509046
"NSEAK_SST_MJJ",31.771908065742
"NSEAK_SST_AMJ",24.7553876532598
"NSEAK_SST_AMJJ",29.4025101322004
"SEAK_SST_May",26.8370201430475
"SEAK_SST_MJJ",33.6355357873228
"SEAK_SST_AMJ",27.0757760739446
"SEAK_SST_AMJJ",31.357602910406
