"","MAPE5"
"no temperature index included",67.0803771657223
"ISTI20_JJ",48.0874705442306
"Chatham_SST_May",51.6324235885325
"Chatham_SST_MJJ",64.9944793153148
"Chatham_SST_AMJ",55.3682338399468
"Chatham_SST_AMJJ",59.4556966002913
"Icy_Strait_SST_May",50.305585846214
"Icy_Strait_SST_MJJ",64.6707899837599
"Icy_Strait_SST_AMJ",55.6030720559365
"Icy_Strait_SST_AMJJ",59.2382096407333
"NSEAK_SST_May",50.8586946843978
"NSEAK_SST_MJJ",62.1213433323043
"NSEAK_SST_AMJ",53.1749821282077
"NSEAK_SST_AMJJ",56.6983270775683
"SEAK_SST_May",54.4933602665625
"SEAK_SST_MJJ",63.0334328005818
"SEAK_SST_AMJ",57.6804105047583
"SEAK_SST_AMJJ",59.2306762280153
