"year","ISTI3_May","ISTI10_May","ISTI15_May","ISTI20_May"
1997,8.33,7.97,7.6,7.23
1998,7.78,7.64,7.5,7.38
1999,6.77,6.66,6.52,6.39
2000,7,6.82,6.61,6.47
2001,7.28,7.1,6.94,6.78
2002,6.88,6.73,6.56,6.39
2003,7.86,7.76,7.59,7.42
2004,8.11,7.86,7.61,7.38
2005,9.74,9.28,8.72,8.32
2006,7.28,7.16,6.93,6.77
2007,8.22,7.7,7.36,7.05
2008,6.97,6.7,6.42,6.22
2009,9.24,8.65,8.26,7.92
2010,10.14,9.44,8.89,8.49
2011,7.07,6.89,6.68,6.51
2012,7.08,6.91,6.77,6.63
2013,7.17,6.9,6.72,6.55
2014,9.24,8.57,8.03,7.66
2015,8.18,7.93,7.78,7.63
2016,9.45,9.14,8.89,8.68
2017,8.45,8.05,7.84,7.69
2018,8.48,8.25,8.07,7.91
2019,8.79,8.5,8.18,7.92
2020,8.39,8.07,7.76,7.47
