"terms","fit","se.fit","fit_LPI","fit_UPI","sigma","df","model","AdjR2","inv_var","weight","stdv","var_yhat","fit_bias_corrected","weight_pred","step1","step2","se_y_pred","fit_LPI_80","fit_UPI_80","exp_fit","exp_fit_LPI_80","exp_fit_UPI_80"
"CPUE",2.71349877539705,0.155156700350652,2.50850004218627,2.91849750860782,0.429,22,"m1",0.595,2.13796232982231,0.0324675823708243,0.7277494325669,0.529619236601444,2.71349877539705,2.60758822552376,0.540836281175907,0.0238771704648569,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + ISTI20_MJJ",2.70180025900687,0.10674608553136,2.5605551330492,2.84304538496454,0.295,21,"m2",0.808,4.63011103329888,0.0703139195966039,0.489172017087688,0.239289262301637,2.70180025900687,2.60758822552376,0.248165169554659,0.035027708086175,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + Chatham_SST_May",2.75118310570592,0.112055852961928,2.60291215987108,2.89945405154076,0.309,21,"m3",0.79,3.45238360606423,0.052428682929549,0.513504428260877,0.26368679784353,2.75118310570592,2.60758822552376,0.284306287458058,0.0279551727272891,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + Chatham_SST_MJJ",2.53121969937837,0.133466683767723,2.35461820185192,2.70782119690481,0.342,21,"m4",0.742,3.67653446028519,0.0558326888006509,0.611621181120324,0.374080469195021,2.53121969937837,2.60758822552376,0.37991262098064,0.0344136235674467,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + Chatham_SST_AMJ",2.65193890172046,0.111708584367011,2.50412745747939,2.79975034596153,0.307,21,"m5",0.793,4.64960367583894,0.070609939301192,0.511913043638189,0.262054964246914,2.65193890172046,2.60758822552376,0.264021946726018,0.0362815516841452,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + Chatham_SST_AMJJ",2.54088465449615,0.123163440825217,2.37791628309271,2.70385302589959,0.321,21,"m6",0.772,4.58899998045267,0.0696895977944763,0.564405790432771,0.318553896274041,2.54088465449615,2.60758822552376,0.323003262661877,0.0396069511416678,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + Icy_Strait_SST_May",2.7155142441757,0.116134033740692,2.56184709898697,2.86918138936443,0.321,21,"m7",0.773,3.22392548419581,0.0489592659119614,0.532193000377277,0.283229389650568,2.7155142441757,2.60758822552376,0.294877415152627,0.0265861623768407,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + Icy_Strait_SST_MJJ",2.5595786046086,0.134622147960423,2.38144821087368,2.73770899834351,0.351,21,"m8",0.729,3.42702307274983,0.0520435521005967,0.616916183246183,0.380585577151038,2.5595786046086,2.60758822552376,0.382890500851456,0.0322035853883846,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + Icy_Strait_SST_AMJ",2.6115196118678,0.121362415071312,2.45093433590245,2.77210488783315,0.328,21,"m9",0.763,3.53828783514271,0.0537332440973034,0.556152453586937,0.30930555163077,2.6115196118678,2.60758822552376,0.309321007429356,0.0298846221735511,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + Icy_Strait_SST_AMJJ",2.55473008670661,0.129057086796725,2.38396331442082,2.7254968589924,0.338,21,"m10",0.749,3.89452017576238,0.0591430694720947,0.591413869216478,0.349770364701606,2.55473008670661,2.60758822552376,0.352564347540819,0.0351174567900984,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + NSEAK_SST_May",2.73860568321101,0.115028801337664,2.58640096813577,2.89081039828625,0.317,21,"m11",0.778,3.06074697106325,0.0464811998850823,0.527128189229883,0.277864127880775,2.73860568321101,2.60758822552376,0.295029702099605,0.0252470244693748,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + NSEAK_SST_MJJ",2.5199833209339,0.132801473620747,2.3442620214075,2.69570462046029,0.339,21,"m12",0.747,3.58482126296653,0.0544399113195421,0.608572805268754,0.370360859312681,2.5199833209339,2.60758822552376,0.37803547862088,0.0334721561770666,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + NSEAK_SST_AMJ",2.61423000672491,0.115836171755717,2.46095698890278,2.76750302454704,0.314,21,"m13",0.782,3.99217833699542,0.060626128527808,0.530828025284479,0.281778392427419,2.61423000672491,2.60758822552376,0.281822505684943,0.0321845670868382,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + NSEAK_SST_AMJJ",2.52552240066895,0.126447264505675,2.35820891359161,2.69283588774628,0.326,21,"m14",0.766,4.06065701733725,0.0616660613477789,0.579454161017359,0.335767124720331,2.52552240066895,2.60758822552376,0.342501924329431,0.0360892385204958,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + SEAK_SST_May",2.70041088186626,0.119595694012175,2.54216330978286,2.85865845394966,0.33,21,"m15",0.759,2.86668315807737,0.0435341026675935,0.548056320601569,0.30036573055133,2.70041088186626,2.60758822552376,0.308981776081807,0.0241989225602691,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + SEAK_SST_MJJ",2.51043911216352,0.138336926703172,2.32739336824211,2.69348485608493,0.348,21,"m16",0.734,3.43878728912018,0.0522222061669966,0.633939438024843,0.401879211083254,2.51043911216352,2.60758822552376,0.411317161309935,0.0334921964497483,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
"CPUE + SEAK_SST_AMJ",2.57916720525731,0.121562653325118,2.41831697646263,2.74001743405198,0.324,21,"m17",0.769,3.81652387550818,0.0579585999106814,0.557070060542028,0.310327052352299,2.57916720525731,2.60758822552376,0.311134806745285,0.0323289935838789,0.573650080820155,1.87331612207396,3.34186032897356,13.5662925268101,6.50984809647846,28.2716724254356
