"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","MASE","MASE2","wMAPE"
"CPUE",2.71349877539705,2.11105553985421,3.31594201093988,0.155156700350652,22,0.42875901476961,0.612342233589503,0.59472142602539,31.3714843050502,32.5714843050502,34.9056457960941,6.22867584419469e-06,0.42875901476961,0.106961164528792,0.117712322315074,0.38927973025505,0.38927973025505,0.191583117555189
"CPUE + ISTI20_MJJ",2.70180025900687,2.28680037276003,3.11680014525371,0.10674608553136,21,0.294911964799646,0.824933374906344,0.808260362992663,14.2925333746251,16.3977965325198,19.0047486960169,1.13144976206606e-08,0.294911964799646,0.0679196990288077,0.0790586399663522,0.25562229550382,0.25562229550382,0.118196159912
"CPUE + Chatham_SST_May",2.75118310570592,2.31646868459004,3.1858975268218,0.112055852961928,21,0.308835191448721,0.808012860366743,0.789728370877862,16.5068159126272,18.6120790705219,21.219031234019,2.98096894223896e-08,0.308835191448721,0.0683400303132644,0.0792322781204526,0.256853900008831,0.256853900008831,0.123522680506208
"CPUE + Chatham_SST_MJJ",2.53121969937837,2.04496666624594,3.01747273251079,0.133466683767723,21,0.342392482922051,0.764024444472036,0.741550582040801,21.4580118969955,23.5632750548903,26.1702272183873,2.60078038023671e-07,0.342392482922051,0.0833980908580224,0.0967014581616493,0.312597340972725,0.312597340972725,0.138337700434841
"CPUE + Chatham_SST_AMJ",2.65193890172046,2.22021058659806,3.08366721684286,0.111708584367011,21,0.306560154167837,0.810830992159715,0.792814896174926,16.151914668261,18.2571778261557,20.8641299896527,2.55225964393256e-08,0.306560154167837,0.0714441506376663,0.0816788786709271,0.26914761735747,0.26914761735747,0.106709120498941
"CPUE + Chatham_SST_AMJJ",2.54088465449615,2.08544809617301,2.9963212128193,0.123163440825217,21,0.321406218905285,0.792065225459214,0.772261913598187,18.4219213016849,20.5271844595796,23.1341366230767,6.89024748468403e-08,0.321406218905285,0.0760343503664293,0.0871965135824057,0.287997607475885,0.287997607475885,0.114543601002838
"CPUE + Icy_Strait_SST_May",2.7155142441757,2.26392580774292,3.16710268060848,0.116134033740692,21,0.320921386746371,0.792692079717798,0.77294846826235,18.3494599973826,20.4547231552773,23.0616753187744,6.67524016324104e-08,0.320921386746371,0.064929481807271,0.0761232568886306,0.244995213412873,0.244995213412873,0.125280375086747
"CPUE + Icy_Strait_SST_MJJ",2.5595786046086,2.06228623393501,3.05687097528218,0.134622147960423,21,0.350890740556056,0.752165141656259,0.728561821813998,22.6348377176597,24.7401008755544,27.3470530390514,4.35216247722534e-07,0.350890740556056,0.0857499375409267,0.0995537052356111,0.320407037344565,0.320407037344565,0.138212394992203
"CPUE + Icy_Strait_SST_AMJ",2.6115196118678,2.14857877507272,3.07446044866288,0.121362415071312,21,0.328144244286534,0.783255464718377,0.762613128024889,19.417800261947,21.5230634198417,24.1300155833387,1.06526005867682e-07,0.328144244286534,0.0722187582540815,0.0835596167879954,0.270710195323188,0.270710195323188,0.120631854533185
"CPUE + Icy_Strait_SST_AMJJ",2.55473008670661,2.07659968325532,3.03286049015791,0.129057086796725,21,0.337514681503979,0.770700075238778,0.74886198716628,20.7692752654045,22.8745384232992,25.4814905867963,1.92415954021684e-07,0.337514681503979,0.0805068158675214,0.0925663242736196,0.302901802350297,0.302901802350297,0.12016621195414
