"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","R2","AdjR2","AICc","p.value","sigma","model"
"CPUE",3.4028901409661,4.75462956022391,3.0240587113652,3.94100296710377,3.57078134272106,3.53203721923915,3.66118429751218,4.01418631145849,3.21347442616565,3.44593916705712,2.83894789917384,3.33401169922049,3.33831660182959,4.10458926624962,2.98531458788328,3.85060001231264,3.25652345225666,3.97113728536748,3.3899754331388,4.20790692886805,2.48594588522754,2.83894789917384,2.82603319134654,3.25975310039952,0.612112797365835,0.594481560882464,32.5560578916457,6.27037852802549e-06,0.428621240788846,"m1"
"CPUE + ISTI20_MJJ",3.27501672957755,4.75513319920359,3.24324793021761,4.17566461130592,3.60781540910293,4.02779585073999,3.55276923895028,3.94296047679105,2.53454824247015,3.61921702102799,2.81961747994212,3.96264859315568,3.15529557494887,4.03515949740702,3.14624197314375,4.23700194874993,3.35504570152003,4.01343102893008,3.07393602559261,3.67838786240769,2.62624111427184,2.82583210039493,2.2565600820444,3.3286196943645,0.825564034322313,0.808951085210152,16.2815562399171,1.08937738503371e-08,0.294198648584966,"m2"
"CPUE + Chatham_SST_May",3.43060124609263,4.80814164304974,3.28740705028541,4.10417298171104,3.95282524025905,4.06570506593714,3.62071960715275,3.91834368918982,2.7539748842268,3.62288182695067,2.98764826698081,3.67061584306193,3.43797245940938,4.0075176917313,3.03278761933458,4.12255973720729,3.59610171156277,3.76639839259595,2.79298531808181,3.69903532617045,2.31356153181169,2.82630712992422,2.43518460574985,2.99473851778342,0.807898597003263,0.789603225289288,18.5967320268565,2.99965035467888e-08,0.308736463333391,"m3"
"CPUE + Chatham_SST_MJJ",3.26724110227817,4.83337510097979,3.39570414101705,4.02220881428465,3.87274667139739,3.91292956860523,3.61941288787915,3.76849710304545,2.79348132382107,3.4505558530472,2.91292034791684,3.84475392380088,3.34789034248456,4.22184680396038,3.03923243728497,4.16612063892291,3.30050270294335,3.92712597377635,3.00708050414752,3.69980081731959,2.47204424240395,2.75334665788355,2.46583057003289,3.1535388570276,0.764122764007895,0.741658265341981,23.523646666591,2.58942487566394e-07,0.342109923280343,"m4"
"CPUE + Chatham_SST_AMJ",3.44108571591782,4.79144185428962,3.27050649575859,4.07781182563306,3.87939003845027,4.09291247431564,3.58971674786251,3.92403356387368,2.77561120025337,3.4943766282753,2.9841391810108,3.77077277848121,3.49750616850986,4.04075707351125,2.99742223661731,4.13755008451438,3.48127592349886,3.9776891778913,2.81710743976823,3.54622647966618,2.32898278587437,2.80233008617315,2.39224486277372,3.13729656334004,0.810659155119546,0.79262669370236,18.24934233994,2.57670833551249e-08,0.306510115588281,"m5"
"CPUE + Chatham_SST_AMJJ",3.33556678124879,4.77979228927582,3.32832922337874,4.03739818479816,3.8612237186605,3.99178156707955,3.58282449896541,3.8030322702052,2.78624419536663,3.4616053580379,2.93590717489708,3.85801203298918,3.45871445946279,4.19626850521429,3.05485636857732,4.16887714877671,3.37927929925473,3.99706996479856,2.94357244889542,3.59100379525952,2.39562313227483,2.75750400724128,2.37075682687778,3.1729441347243,0.792004878107874,0.772195818880053,20.5045221172401,6.91127335528348e-08,0.321254508518384,"m6"
"CPUE + Icy_Strait_SST_May",3.47765801244155,4.91579956183253,3.38913787914012,4.10123417059796,3.89653013378626,3.94389722764386,3.66118100917301,3.97202440912773,2.67181966772994,3.59941016580833,3.0132908989997,3.64134334766683,3.32658689336079,4.00175501665722,3.0746501005489,4.03784264470114,3.57618817313719,3.76611995984263,2.9029784340338,3.65945187351324,2.31955455261657,2.85760915155078,2.47647985375519,2.96564424859524,0.792775751499003,0.773040108784622,20.4154078611989,6.64700522388447e-08,0.3206586377263,"m7"
"CPUE + Icy_Strait_SST_MJJ",3.29437045890078,4.8968677778185,3.36436483127973,4.02273319837315,3.76591887359933,3.81469593375741,3.66265269346805,3.80974816535222,2.74796646199344,3.38475497198202,3.00062861859172,3.79285613845751,3.36643696895638,4.22855651698136,3.0215859926175,4.20510158028631,3.30109885549867,3.94084981726026,3.11023723443939,3.63705484616549,2.4857079084218,2.80287311413702,2.49217636682461,3.09895006109787,0.752246525920002,0.728650956960002,24.7025917648371,4.33717960302922e-07,0.350616647671108,"m8"
"CPUE + Icy_Strait_SST_AMJ",3.48004592463859,4.89000935579469,3.30576966045418,4.06776631416681,3.77979510385753,3.97280873914627,3.660392942328,3.9831039476986,2.79025877057238,3.43518427868023,3.05063976846007,3.70792053435542,3.44607359890019,4.02671340686696,3.06408564054855,4.10319279230651,3.47647954471363,3.96868864067592,2.97631300366645,3.48731164902156,2.33274907654915,2.77401398788184,2.42835294152582,3.04051776345116,0.783211585311134,0.76256506962648,21.4982949981454,1.06752666035507e-07,0.327974962652785,"m9"
"CPUE + Icy_Strait_SST_AMJJ",3.35925032443144,4.85512979292923,3.31150488087682,4.03231107511946,3.74477206116073,3.87712163735885,3.62376129695161,3.84594532541025,2.77427193870109,3.39332948702378,3.04073614954595,3.79517157796119,3.45360341934559,4.20984069054326,3.06054770721401,4.19488522184362,3.37176584205286,4.00121046094199,3.06778102063531,3.5444134262167,2.41677275677526,2.77288324000458,2.40290532479114,3.09827272842577,0.770667114358952,0.748825887155043,22.8483614004113,1.92706571555766e-07,0.337330666486455,"m10"
